Date,Open,High,Low,Close,Volume
"Tuesday, September 4, 2018",60.213501,60.649502,59.625,59.849998,36620000
"Wednesday, September 5, 2018",59.689999,59.9505,58.099998,59.324001,41226000
"Thursday, September 6, 2018",59.314999,59.314999,57.599998,58.571999,37770000
"Friday, September 7, 2018",57.933498,58.763,57.860748,58.241501,28026000
"Monday, September 10, 2018",58.609501,58.727001,58.005501,58.231998,22308000
"Tuesday, September 11, 2018",58.081501,58.933998,57.812,58.868,24186000
"Wednesday, September 12, 2018",58.636002,58.9305,57.917999,58.140999,25910000
"Thursday, September 13, 2018",58.536999,58.9305,58.142502,58.766499,28624000
"Friday, September 14, 2018",58.955002,59.021252,58.4165,58.626499,18880000
"Monday, September 17, 2018",58.507,58.862,,57.802502,
"Tuesday, September 18, 2018",57.8545,58.804001,57.8545,58.061001,24072000
"Wednesday, September 19, 2018",58.249001,58.6605,57.729,58.554501,23828000
"Thursday, September 20, 2018",58.9995,59.494499,58.667999,59.343498,24508000
"Friday, September 21, 2018",59.599998,59.6105,58.301998,58.304501,88112000
"Monday, September 24, 2018",57.858501,58.900002,57.345501,58.668499,25420000
"Tuesday, September 25, 2018",58.807499,59.344002,58.400002,59.232498,19554000
"Wednesday, September 26, 2018",59.2575,59.711498,58.738251,59.024502,29246000
"Thursday, September 27, 2018",59.336498,60.105,59.181499,59.731998,25216000
"Friday, September 28, 2018",59.593498,59.7705,59.224998,59.6735,27612000
"Monday, October 1, 2018",59.994499,60.494999,59.514999,59.765499,27152000
"Tuesday, October 2, 2018",59.548,60.498001,59.331501,60.005501,33758000
"Wednesday, October 3, 2018",60.25,60.320499,59.691502,60.147499,25124000
"Thursday, October 4, 2018",59.766499,59.8755,57.778801,58.4095,44190000
"Friday, October 5, 2018",58.375,58.674999,57.256001,57.8675,23686000
"Monday, October 8, 2018",57.505501,58.400002,56.368198,57.448502,38648000
"Tuesday, October 9, 2018",57.307499,57.717499,56.878601,56.941002,26174000
