Mission,Spacecraft,Launch Date,Carrier Rocket,Operator,Mission Type,Outcome
Surveyor 7,Surveyor 7,7-Jan-68,Atlas SLV-3C Centaur-D,United States NASA,Lander,Successful
Luna E-6LS No.112,Luna E-6LS No.112,7-Feb-68,Molniya-M,Soviet Union Lavochkin,Orbiter,Launch failure
Luna 14 (E-6LS No.113),Luna 14,7-Apr-68,Molniya-M,Soviet Union Lavochkin,Orbiter,Successful
Soyuz 7K-L1 No.7L,Soyuz 7K-L1 No.7L,22-Apr-68,Proton-K/D,Soviet Union Lavochkin,Flyby,Launch failure
Zond 5 (7K-L1 No.9L),Zond 5,14-Sep-68,Proton-K/D,Soviet Union Lavochkin,Flyby,Successful
Zond 6 (7K-L1 No.12L),Zond 6,10-Nov-68,Proton-K/D,Soviet Union Lavochkin,Flyby,Spacecraft failure
Apollo 8,Apollo 8,21-Dec-68,Saturn V,United States NASA,Crewed orbiter,Successful
Soyuz 7K-L1 No.13L,Soyuz 7K-L1 No.13L,20-Jan-69,Proton-K/D,Soviet Union Lavochkin,Flyby,Launch failure
Luna E-8 No.201,Luna E-8 No.201,19-Feb-69,Proton-K/D,Soviet Union Lavochkin,Lander,Launch failure
Luna E-8-5 No.402,Luna E-8-5 No.402,14-Jun-69,Proton-K/D,Soviet Union Lavochkin,Lander,Launch failure
Luna 15,Luna 15,13-Jul-69,Proton-K/D,Soviet Union Lavochkin,Lander,Spacecraft failure
Apollo 11,Apollo 11,16-Jul-69,Saturn V,United States NASA,Orbiter,Successful
Zond 7,Zond 7,7-Aug-69,Proton-K/D,Soviet Union Lavochkin,Flyby,Successful
Kosmos 300,Kosmos 300,23-Sep-69,Proton-K/D,Soviet Union Lavochkin,Lander,Launch failure
Kosmos 305,Kosmos 305,22-Oct-69,Proton-K/D,Soviet Union Lavochkin,Lander,Launch failure
Apollo 12,Apollo 12,14-Nov-69,Saturn V,United States NASA,Orbiter,Successful
Luna E-8-5 No.405,Luna E-8-5 No.405,6-Feb-70,Proton-K/D,Soviet Union Lavochkin,Lander,Launch failure
Apollo 13,Apollo 13,11-Apr-70,Saturn V,United States NASA,Orbiter,Spacecraft failure
Luna 16,Luna 16,12-Sep-70,Proton-K/D,Soviet Union Lavochkin,Lander,Successful
Zond 8,Zond 8,20-Oct-70,Proton-K/D,Soviet Union Lavochkin,Flyby,Successful
Luna 17,Luna 17,10-Nov-70,Proton-K/D,Soviet Union Lavochkin,Lander,Successful
Apollo 14,Apollo 14,31-Jan-71,Saturn V,United States NASA,Orbiter,Successful
Apollo 15,Apollo 15,26-Jul-71,Saturn V,United States NASA,Orbiter,Successful
PFS-1,PFS-1,26-Jul-71,Saturn V,United States NASA,Orbiter,Successful
Luna 18,Luna 18,2-Sep-71,Proton-K/D,Soviet Union Lavochkin,Lander,Spacecraft failure
Luna 19,Luna 19,28-Sep-71,Proton-K/D,Soviet Union Lavochkin,Orbiter,Successful
Luna 20,Luna 20,14-Feb-72,Proton-K/D,Soviet Union Lavochkin,Lander,Successful
Apollo 16,Apollo 16,16-Apr-72,Saturn V,United States NASA,"Orbiter,Lander,Rover",Successful
PFS-2,PFS-2,16-Apr-72,Saturn V,United States NASA,Orbiter,Successful
Soyuz 7K-LOK No.1,Soyuz 7K-LOK No.1,3-Jul-72,N1,Soviet Union OKB-1,Orbiter,Launch failure
Apollo 17,Apollo 17,7-Dec-72,Saturn V,United States NASA,"Orbiter,Lander,Rover",Successful
Luna 21,Luna 21,8-Jan-73,Proton-K/D,Soviet Union Lavochkin,Lander,Successful
Explorer 49,Explorer 49,10-Jun-73,Delta 1913,United States NASA,Orbiter,Successful
Mariner 10,Mariner 10,3-Nov-73,Atlas SLV-3D Centaur-D1A,United States NASA,Flyby,Successful
Luna 22,Luna 22,29-May-74,Proton-K/D,Soviet Union Lavochkin,Orbiter,Successful
Luna 23,Luna 23,16-Oct-75,Proton-K/D,Soviet Union Lavochkin,Lander,Partial failure
Luna E-8-5M No.412,Luna E-8-5M No.412,16-Oct-75,Proton-K/D,Soviet Union Lavochkin,"Lander,Sample Return",Launch failure
Luna 24,Luna 24,9-Aug-76,Proton-K/D,Soviet Union Lavochkin,"Lander,Sample Return",Successful
ISEE-3,ISEE-3,12-Aug-78,Delta 2914,United States NASA,Flyby,Successful
Hiten,Hiten,24-Jan-90,Mu-3S-II,Japan ISAS,Orbiter,Successful
Hiten,Hagoromo,24-Jan-90,Mu-4S-II,Japan ISAS,Orbiter,Spacecraft failure
Geotail,Geotail,24-Jul-92,Delta II 6925,Japan United States ISAS/NASA,Flyby,Successful
WIND,WIND,1-Nov-94,Delta II 7925-10,United States NASA,Flyby,Successful
Clementine,Clementine,25-Jan-94,Titan II (23)G Star-37FM,United States USAF/NASA,Orbiter,Successful
HGS-1,HGS-1,24-Dec-97,Proton-K/DM3,United States Hughes,Flyby,Successful
Lunar Prospector,Lunar Prospector,7-Jan-98,Athena II,United States NASA,Orbiter,Successful
Nozomi,Nozomi,3-Jul-98,M-V,Japan ISAS,Flyby,Successful
WMAP,WMAP,30-Jun-01,Delta II 7425-10,United States NASA,Flyby,Successful
SMART-1,SMART-1,27-Sep-03,Ariane 5G,European Union ESA,Orbiter,Successful
STEREO A,STEREO A,25-Oct-06,Delta II 7925-10L,United States NASA,Flyby,Successful
STEREO B,STEREO B,25-Oct-06,Delta II 7925-11L,United States NASA,Flyby,Successful
ARTEMIS P1,ARTEMIS P1,17-Feb-07,Delta II 7925,United States NASA,Orbiter,Operational
ARTEMIS P2,ARTEMIS P2,17-Feb-07,Delta II 7925,United States NASA,Orbiter,Operational
SELENE (Kaguya),Kaguya,14-Sep-07,H-IIA 2022,Japan JAXA,Orbiter,Successful
SELENE (Kaguya),Okina,14-Sep-07,H-IIA 2022,Japan JAXA,Orbiter,Successful
SELENE (Kaguya),Ouna,14-Sep-07,H-IIA 2022,Japan JAXA,Orbiter,Successful
Chang'e 1,Chang'e 1,24-Oct-07,Long March 3A,China CNSA,Orbiter,Successful
Chandrayaan-1,Chandrayaan-1,22-Oct-08,PSLV-XL C11,India ISRO,Orbiter,Successful
Chandrayaan-1,Moon Impact Probe,22-Oct-08,PSLV-XL C11,India ISRO,Impactor,Successful
Lunar Reconnaissance Orbiter,Lunar Reconnaissance Orbiter,18-Jun-09,Atlas V 401,United States NASA,Orbiter,Operational
LCROSS,LCROSS,18-Jun-09,Atlas V 401,United States NASA,Impactor,Successful
Chang'e 2,Chang'e 2,1-Oct-10,Long March 3C,China CNSA,Orbiter,Successful
GRAIL,Ebb,10-Sep-11,Delta II 7920H,United States NASA,Orbiter,Successful
GRAIL,Flow,10-Sep-11,Delta II 7921H,United States NASA,Orbiter,Successful
LADEE,LADEE,7-Sep-13,Minotaur V,United States NASA,Orbiter,Successful
Chang'e 3,Chang'e 3,1-Dec-13,Long March 3B,China CNSA,Lander,Operational
Chang'e 3,Yutu,1-Dec-13,Long March 3B,China CNSA,Rover,Successful
Chang'e 5-T1,Chang'e 5-T1,23-Oct-14,Long March 3C,China CNSA,Orbiter,Successful
Chang'e 5-T1,Return Capsule,23-Oct-14,Long March 3C,China CNSA,Orbiter,Successful
Manfred Memorial Moon Mission,Manfred Memorial Moon Mission,23-Oct-14,Long March 3C,Luxembourg LuxSpace,Flyby / Impactor (post mission),Successful
TESS,TESS,18-Apr-18,Falcon 9 Full Thrust,United States NASA,Flyby,Successful
Queqiao,Queqiao relay satellite,21-May-18,Long March 4C,China CNSA,Relay Satellite,Operational
Longjiang-1,Longjiang-1,21-May-18,Long March 4C,China CNSA,Orbiter,Spacecraft failure
Longjiang-2,Longjiang-2,21-May-18,Long March 4C,China CNSA,Orbiter,Successful
Chang'e 4,Chang'e 4,7-Dec-18,Long March 3B,China CNSA,Lander,Operational
Chang'e 4,Yutu-2,7-Dec-18,Long March 3B,China CNSA,Rover,Operational
Beresheet,Beresheet,22-Feb-19,Falcon 9,Israel SpaceIL,Lander,Spacecraft failure
Chandrayaan-2,Chandrayaan-2 Orbiter,22-Jul-19,LVM3 M1,India ISRO,Orbiter,Operational
Chang'e 5,Chang'e 5 Orbiter,23-Nov-20,Long March 5,China CNSA,Orbiter,Operational
Chang'e 5,Chang'e 5 Lander,23-Nov-20,Long March 5,China CNSA,Lander,Successful
Chang'e 5,Chang'e 5 Ascender,23-Nov-20,Long March 5,China CNSA,Launch Vehicle,Successful
Chang'e 5,Chang'e 5 Returner,23-Nov-20,Long March 5,China CNSA,Sample Return,Successful
CAPSTONE,CAPSTONE,28-Jun-22,Electron,United States NASA,Orbiter,Operational
Danuri,Danuri,4-Aug-22,Falcon 9,South Korea KARI,Orbiter,Operational
Artemis 1,Artemis 1 Orion MPCV CM-002,16-Nov-22,SLS Block 1,United States NASA,Orbiter,Successful
LunaH-Map,LunaH-Map,16-Nov-22,SLS Block 1,United States NASA,Orbiter,Partial failure
Lunar IceCube,Lunar IceCube,16-Nov-22,SLS Block 1,United States NASA,Orbiter,Spacecraft failure
